id,s,t,name,res_id
1406,26,212,"x_{186, 26, 1}",11772
1407,23,212,"x_{189, 23}",11786
1408,19,212,"x_{193, 19}",11804
1409,14,212,"x_{198, 14}",11835
1410,14,212,"x_{198, 14, 1}",11836
1411,13,212,"x_{199, 13}",11845
1412,13,212,"x_{199, 13, 1}",11847
1413,12,212,"x_{200, 12}",11851
1414,11,212,"x_{201, 11}",11856
1415,11,212,"x_{201, 11, 1}",11857
1416,11,212,"x_{201, 11, 2}",11861
1417,10,212,"x_{202, 10}",11863
1418,10,212,"x_{202, 10, 1}",11864
1419,10,212,"x_{202, 10, 2}",11867
1420,9,212,"x_{203, 9}",11870
1421,9,212,"x_{203, 9, 1}",11871
1422,8,212,"x_{204, 8}",11876
1423,7,212,"x_{205, 7}",11881
1424,7,212,"x_{205, 7, 1}",11882
1425,68,213,"x_{145, 68}",11889
1426,67,213,"x_{146, 67}",11890
1427,32,213,"x_{181, 32}",11992
1428,26,213,"x_{187, 26}",12015
1429,25,213,"x_{188, 25}",12021
1430,24,213,"x_{189, 24}",12025
1431,23,213,"x_{190, 23}",12031
1432,22,213,"x_{191, 22}",12034
1433,21,213,"x_{192, 21}",12038
1434,19,213,"x_{194, 19}",12042
1435,16,213,"x_{197, 16}",12055
1436,14,213,"x_{199, 14}",12073
1437,7,213,"x_{206, 7}",12101
1438,41,214,"x_{173, 41}",12132
1439,32,214,"x_{182, 32}",12157
1440,31,214,"x_{183, 31}",12159
1441,28,214,"x_{186, 28}",12167
1442,26,214,"x_{188, 26}",12174
1443,24,214,"x_{190, 24}",12180
1444,23,214,"x_{191, 23}",12183
1445,19,214,"x_{195, 19}",12195
1446,18,214,"x_{196, 18}",12198
1447,17,214,"x_{197, 17}",12202
1448,17,214,"x_{197, 17, 1}",12203
1449,16,214,"x_{198, 16}",12208
1450,15,214,"x_{199, 15}",12215
1451,15,214,"x_{199, 15, 1}",12216
1452,14,214,"x_{200, 14}",12222
1453,14,214,"x_{200, 14, 1}",12223
1454,13,214,"x_{201, 13}",12228
1455,13,214,"x_{201, 13, 1}",12229
1456,13,214,"x_{201, 13, 2}",12231
1457,13,214,"x_{201, 13, 3}",12232
1458,12,214,"x_{202, 12}",12236
1459,12,214,"x_{202, 12, 1}",12237
1460,11,214,"x_{203, 11}",12245
1461,10,214,"x_{204, 10}",12251
1462,10,214,"x_{204, 10, 1}",12252
1463,10,214,"x_{204, 10, 2}",12253
1464,9,214,"x_{205, 9}",12257
1465,9,214,"x_{205, 9, 1}",12258
1466,8,214,"x_{206, 8}",12262
1467,71,215,"x_{144, 71}",12268
1468,56,215,"x_{159, 56}",12278
1469,54,215,"x_{161, 54}",12281
1470,53,215,"x_{162, 53}",12282
1471,50,215,"x_{165, 50}",12285
1472,44,215,"x_{171, 44}",12296
1473,27,215,"x_{188, 27}",12369
1474,26,215,"x_{189, 26}",12372
1475,26,215,"x_{189, 26, 1}",12373
1476,23,215,"x_{192, 23}",12385
1477,13,215,"x_{202, 13}",12435
1478,11,215,"x_{204, 11}",12444
1479,11,215,"x_{204, 11, 1}",12445
1480,65,216,"x_{151, 65}",12455
1481,33,216,"x_{183, 33}",12552
1482,32,216,"x_{184, 32}",12555
1483,29,216,"x_{187, 29}",12570
1484,28,216,"x_{188, 28}",12571
1485,26,216,"x_{190, 26}",12578
1486,26,216,"x_{190, 26, 1}",12579
1487,24,216,"x_{192, 24}",12587
1488,24,216,"x_{192, 24, 1}",12589
1489,23,216,"x_{193, 23}",12592
1490,22,216,"x_{194, 22}",12594
1491,20,216,"x_{196, 20}",12601
1492,19,216,"x_{197, 19}",12607
1493,16,216,"x_{200, 16}",12622
1494,16,216,"x_{200, 16, 1}",12624
1495,15,216,"x_{201, 15}",12629
1496,13,216,"x_{203, 13}",12642
1497,9,216,"x_{207, 9}",12666
1498,7,216,"x_{209, 7}",12672
1499,51,217,"x_{166, 51}",12692
1500,42,217,"x_{175, 42}",12699
1501,41,217,"x_{176, 41}",12701
1502,32,217,"x_{185, 32}",12720
1503,31,217,"x_{186, 31}",12721
1504,28,217,"x_{189, 28}",12732
1505,26,217,"x_{191, 26}",12739
1506,21,217,"x_{196, 21}",12754
1507,20,217,"x_{197, 20}",12759
1508,18,217,"x_{199, 18}",12765
1509,17,217,"x_{200, 17}",12767
1510,15,217,"x_{202, 15}",12778
1511,13,217,"x_{204, 13}",12789
1512,7,217,"x_{210, 7}",12811
1513,73,218,"x_{145, 73}",12815
1514,50,218,"x_{168, 50}",12834
1515,37,218,"x_{181, 37}",12872
1516,28,218,"x_{190, 28}",12924
1517,28,218,"x_{190, 28, 1}",12926
1518,27,218,"x_{191, 27}",12930
1519,23,218,"x_{195, 23}",12944
1520,23,218,"x_{195, 23, 1}",12945
1521,20,218,"x_{198, 20}",12957
1522,19,218,"x_{199, 19}",12963
1523,16,218,"x_{202, 16}",12981
1524,15,218,"x_{203, 15}",12987
1525,14,218,"x_{204, 14}",12992
1526,14,218,"x_{204, 14, 1}",12994
1527,13,218,"x_{205, 13}",12999
1528,12,218,"x_{206, 12}",13006
1529,11,218,"x_{207, 11}",13013
1530,10,218,"x_{208, 10}",13020
1531,9,218,"x_{209, 9}",13024
1532,8,218,"x_{210, 8}",13028
1533,65,219,"x_{154, 65}",13038
1534,50,219,"x_{169, 50}",13071
1535,39,219,"x_{180, 39}",13109
1536,36,219,"x_{183, 36}",13123
1537,34,219,"x_{185, 34}",13135
1538,33,219,"x_{186, 33}",13140
1539,26,219,"x_{193, 26}",13162
1540,24,219,"x_{195, 24}",13172
1541,23,219,"x_{196, 23}",13175
1542,23,219,"x_{196, 23, 1}",13177
1543,22,219,"x_{197, 22}",13179
1544,21,219,"x_{198, 21}",13185
1545,21,219,"x_{198, 21, 1}",13186
1546,20,219,"x_{199, 20}",13190
1547,19,219,"x_{200, 19}",13193
1548,18,219,"x_{201, 18}",13195
1549,10,219,"x_{209, 10}",13226
1550,73,220,"x_{147, 73}",13234
1551,42,220,"x_{178, 42}",13252
1552,36,220,"x_{184, 36}",13267
1553,32,220,"x_{188, 32}",13282
1554,28,220,"x_{192, 28}",13293
1555,25,220,"x_{195, 25}",13302
1556,25,220,"x_{195, 25, 1}",13303
1557,23,220,"x_{197, 23}",13311
1558,21,220,"x_{199, 21}",13315
1559,20,220,"x_{200, 20}",13318
1560,18,220,"x_{202, 18}",13324
1561,17,220,"x_{203, 17}",13327
1562,16,220,"x_{204, 16}",13338
1563,14,220,"x_{206, 14}",13347
1564,13,220,"x_{207, 13}",13356
1565,7,220,"x_{213, 7}",13381
1566,47,221,"x_{174, 47}",13410
1567,47,221,"x_{174, 47, 1}",13411
1568,31,221,"x_{190, 31}",13477
1569,28,221,"x_{193, 28}",13495
1570,27,221,"x_{194, 27}",13498
1571,27,221,"x_{194, 27, 1}",13502
1572,26,221,"x_{195, 26}",13504
1573,24,221,"x_{197, 24}",13510
1574,23,221,"x_{198, 23}",13517
1575,22,221,"x_{199, 22}",13519
1576,20,221,"x_{201, 20}",13525
1577,19,221,"x_{202, 19}",13530
1578,19,221,"x_{202, 19, 1}",13531
1579,19,221,"x_{202, 19, 2}",13532
1580,18,221,"x_{203, 18}",13539
1581,16,221,"x_{205, 16}",13549
1582,12,221,"x_{209, 12}",13562
1583,11,221,"x_{210, 11}",13565
1584,10,221,"x_{211, 10}",13569
1585,72,222,"x_{150, 72}",13579
1586,71,222,"x_{151, 71}",13580
1587,62,222,"x_{160, 62}",13589
1588,61,222,"x_{161, 61}",13591
1589,49,222,"x_{173, 49}",13622
1590,49,222,"x_{173, 49, 1}",13623
1591,49,222,"x_{173, 49, 2}",13626
1592,36,222,"x_{186, 36}",13683
1593,34,222,"x_{188, 34}",13694
1594,33,222,"x_{189, 33}",13697
1595,32,222,"x_{190, 32}",13700
1596,29,222,"x_{193, 29}",13717
1597,28,222,"x_{194, 28}",13721
1598,26,222,"x_{196, 26}",13732
1599,22,222,"x_{200, 22}",13748
1600,19,222,"x_{203, 19}",13758
1601,14,222,"x_{208, 14}",13780
1602,13,222,"x_{209, 13}",13784
1603,12,222,"x_{210, 12}",13786
1604,43,223,"x_{180, 43}",13825
1605,36,223,"x_{187, 36}",13843
1606,33,223,"x_{190, 33}",13849
1607,31,223,"x_{192, 31}",13856
1608,26,223,"x_{197, 26}",13880
1609,21,223,"x_{202, 21}",13894
1610,21,223,"x_{202, 21, 1}",13895
1611,21,223,"x_{202, 21, 2}",13896
1612,20,223,"x_{203, 20}",13899
1613,19,223,"x_{204, 19}",13906
1614,19,223,"x_{204, 19, 1}",13907
1615,18,223,"x_{205, 18}",13911
1616,18,223,"x_{205, 18, 1}",13912
1617,17,223,"x_{206, 17}",13914
1618,57,224,"x_{167, 57}",13942
1619,48,224,"x_{176, 48}",13962
1620,47,224,"x_{177, 47}",13964
1621,30,224,"x_{194, 30}",14037
1622,28,224,"x_{196, 28}",14053
1623,27,224,"x_{197, 27}",14061
1624,23,224,"x_{201, 23}",14076
1625,22,224,"x_{202, 22}",14081
1626,21,224,"x_{203, 21}",14086
1627,19,224,"x_{205, 19}",14100
1628,18,224,"x_{206, 18}",14105
1629,18,224,"x_{206, 18, 1}",14108
1630,16,224,"x_{208, 16}",14115
1631,12,224,"x_{212, 12}",14138
1632,11,224,"x_{213, 11}",14140
1633,10,224,"x_{214, 10}",14141
1634,7,224,"x_{217, 7}",14146
1635,6,224,"x_{218, 6}",14147
1636,72,225,"x_{153, 72}",14151
1637,71,225,"x_{154, 71}",14152
1638,35,225,"x_{190, 35}",14253
1639,34,225,"x_{191, 34}",14257
1640,29,225,"x_{196, 29}",14282
1641,25,225,"x_{200, 25}",14296
1642,23,225,"x_{202, 23}",14302
1643,19,225,"x_{206, 19}",14318
1644,19,225,"x_{206, 19, 1}",14319
1645,18,225,"x_{207, 18}",14324
1646,18,225,"x_{207, 18, 1}",14325
1647,17,225,"x_{208, 17}",14328
1648,17,225,"x_{208, 17, 1}",14329
1649,10,225,"x_{215, 10}",14343
1650,45,226,"x_{181, 45}",14375
1651,45,226,"x_{181, 45, 1}",14376
1652,27,226,"x_{199, 27}",14421
1653,26,226,"x_{200, 26}",14423
1654,25,226,"x_{201, 25}",14425
1655,25,226,"x_{201, 25, 1}",14427
1656,24,226,"x_{202, 24}",14428
1657,23,226,"x_{203, 23}",14430
1658,23,226,"x_{203, 23, 1}",14431
1659,22,226,"x_{204, 22}",14433
1660,22,226,"x_{204, 22, 1}",14437
1661,21,226,"x_{205, 21}",14440
1662,21,226,"x_{205, 21, 1}",14441
1663,21,226,"x_{205, 21, 2}",14443
1664,21,226,"x_{205, 21, 3}",14444
1665,20,226,"x_{206, 20}",14448
1666,20,226,"x_{206, 20, 1}",14449
1667,20,226,"x_{206, 20, 2}",14451
1668,19,226,"x_{207, 19}",14456
1669,19,226,"x_{207, 19, 1}",14459
1670,18,226,"x_{208, 18}",14461
1671,18,226,"x_{208, 18, 1}",14462
1672,17,226,"x_{209, 17}",14466
1673,17,226,"x_{209, 17, 1}",14467
1674,16,226,"x_{210, 16}",14472
1675,15,226,"x_{211, 15}",14476
1676,10,226,"x_{216, 10}",14495
1677,9,226,"x_{217, 9}",14497
1678,75,227,"x_{152, 75}",14504
1679,60,227,"x_{167, 60}",14511
1680,58,227,"x_{169, 58}",14513
1681,57,227,"x_{170, 57}",14514
1682,31,227,"x_{196, 31}",14609
1683,28,227,"x_{199, 28}",14624
1684,9,227,"x_{218, 9}",14704
1685,69,228,"x_{159, 69}",14713
1686,40,228,"x_{188, 40}",14796
1687,37,228,"x_{191, 37}",14813
1688,34,228,"x_{194, 34}",14828
1689,30,228,"x_{198, 30}",14846
1690,28,228,"x_{200, 28}",14856
1691,25,228,"x_{203, 25}",14872
1692,24,228,"x_{204, 24}",14877
1693,21,228,"x_{207, 21}",14884
1694,20,228,"x_{208, 20}",14885
1695,20,228,"x_{208, 20, 1}",14886
1696,20,228,"x_{208, 20, 2}",14887
1697,19,228,"x_{209, 19}",14889
1698,19,228,"x_{209, 19, 1}",14890
1699,18,228,"x_{210, 18}",14895
1700,18,228,"x_{210, 18, 1}",14896
1701,18,228,"x_{210, 18, 2}",14897
1702,17,228,"x_{211, 17}",14901
1703,17,228,"x_{211, 17, 1}",14903
1704,17,228,"x_{211, 17, 2}",14904
1705,16,228,"x_{212, 16}",14906
1706,16,228,"x_{212, 16, 1}",14907
1707,16,228,"x_{212, 16, 2}",14908
1708,15,228,"x_{213, 15}",14912
1709,15,228,"x_{213, 15, 1}",14913
1710,11,228,"x_{217, 11}",14929
1711,9,228,"x_{219, 9}",14938
1712,9,228,"x_{219, 9, 1}",14939
1713,8,228,"x_{220, 8}",14942
1714,7,228,"x_{221, 7}",14944
1715,6,228,"x_{222, 6}",14946
1716,5,228,"x_{223, 5}",14948
1717,46,229,"x_{183, 46}",14976
1718,45,229,"x_{184, 45}",14977
1719,32,229,"x_{197, 32}",15004
1720,31,229,"x_{198, 31}",15008
1721,27,229,"x_{202, 27}",15024
1722,23,229,"x_{206, 23}",15038
1723,22,229,"x_{207, 22}",15040
1724,22,229,"x_{207, 22, 1}",15041
1725,21,229,"x_{208, 21}",15043
1726,19,229,"x_{210, 19}",15052
1727,19,229,"x_{210, 19, 1}",15053
1728,18,229,"x_{211, 18}",15057
1729,17,229,"x_{212, 17}",15063
1730,16,229,"x_{213, 16}",15068
1731,15,229,"x_{214, 15}",15070
1732,14,229,"x_{215, 14}",15071
1733,77,230,"x_{153, 77}",15093
1734,54,230,"x_{176, 54}",15110
1735,41,230,"x_{189, 41}",15157
1736,40,230,"x_{190, 40}",15158
1737,39,230,"x_{191, 39}",15164
1738,32,230,"x_{198, 32}",15205
1739,31,230,"x_{199, 31}",15212
1740,22,230,"x_{208, 22}",15254
1741,21,230,"x_{209, 21}",15259
1742,20,230,"x_{210, 20}",15265
1743,18,230,"x_{212, 18}",15282
1744,17,230,"x_{213, 17}",15286
1745,16,230,"x_{214, 16}",15293
1746,69,231,"x_{162, 69}",15332
1747,66,231,"x_{165, 66}",15335
1748,65,231,"x_{166, 65}",15337
1749,54,231,"x_{177, 54}",15363
1750,43,231,"x_{188, 43}",15406
1751,43,231,"x_{188, 43, 1}",15407
1752,40,231,"x_{191, 40}",15423
1753,38,231,"x_{193, 38}",15436
1754,37,231,"x_{194, 37}",15440
1755,28,231,"x_{203, 28}",15478
1756,27,231,"x_{204, 27}",15481
1757,26,231,"x_{205, 26}",15485
1758,26,231,"x_{205, 26, 1}",15487
1759,25,231,"x_{206, 25}",15490
1760,24,231,"x_{207, 24}",15492
1761,23,231,"x_{208, 23}",15496
1762,23,231,"x_{208, 23, 1}",15497
1763,22,231,"x_{209, 22}",15507
1764,21,231,"x_{210, 21}",15512
1765,20,231,"x_{211, 20}",15516
1766,20,231,"x_{211, 20, 1}",15517
1767,19,231,"x_{212, 19}",15524
1768,19,231,"x_{212, 19, 1}",15527
1769,13,231,"x_{218, 13}",15552
1770,77,232,"x_{155, 77}",15565
1771,47,232,"x_{185, 47}",15590
1772,40,232,"x_{192, 40}",15612
1773,31,232,"x_{201, 31}",15640
1774,31,232,"x_{201, 31, 1}",15641
1775,30,232,"x_{202, 30}",15644
1776,29,232,"x_{203, 29}",15647
1777,29,232,"x_{203, 29, 1}",15649
1778,26,232,"x_{206, 26}",15654
1779,25,232,"x_{207, 25}",15659
1780,25,232,"x_{207, 25, 1}",15660
1781,25,232,"x_{207, 25, 2}",15662
1782,24,232,"x_{208, 24}",15665
1783,23,232,"x_{209, 23}",15671
1784,22,232,"x_{210, 22}",15680
1785,22,232,"x_{210, 22, 1}",15681
1786,22,232,"x_{210, 22, 2}",15682
1787,22,232,"x_{210, 22, 3}",15683
1788,21,232,"x_{211, 21}",15688
1789,19,232,"x_{213, 19}",15698
1790,19,232,"x_{213, 19, 1}",15699
1791,18,232,"x_{214, 18}",15702
1792,18,232,"x_{214, 18, 1}",15703
1793,17,232,"x_{215, 17}",15706
1794,16,232,"x_{216, 16}",15708
1795,15,232,"x_{217, 15}",15710
1796,15,232,"x_{217, 15, 1}",15711
1797,15,232,"x_{217, 15, 2}",15712
1798,14,232,"x_{218, 14}",15714
1799,14,232,"x_{218, 14, 1}",15715
1800,14,232,"x_{218, 14, 2}",15716
1801,13,232,"x_{219, 13}",15719
1802,13,232,"x_{219, 13, 1}",15720
1803,13,232,"x_{219, 13, 2}",15721
1804,12,232,"x_{220, 12}",15724
1805,12,232,"x_{220, 12, 1}",15725
1806,11,232,"x_{221, 11}",15728
1807,11,232,"x_{221, 11, 1}",15729
1808,10,232,"x_{222, 10}",15732
1809,9,232,"x_{223, 9}",15735
1810,9,232,"x_{223, 9, 1}",15737
1811,8,232,"x_{224, 8}",15739
1812,51,233,"x_{182, 51}",15771
1813,35,233,"x_{198, 35}",15843
1814,32,233,"x_{201, 32}",15860
1815,28,233,"x_{205, 28}",15879
1816,21,233,"x_{212, 21}",15916
1817,21,233,"x_{212, 21, 1}",15919
1818,20,233,"x_{213, 20}",15922
1819,20,233,"x_{213, 20, 1}",15923
1820,19,233,"x_{214, 19}",15927
1821,17,233,"x_{216, 17}",15934
1822,16,233,"x_{217, 16}",15940
1823,16,233,"x_{217, 16, 1}",15943
1824,15,233,"x_{218, 15}",15948
1825,12,233,"x_{221, 12}",15959
1826,76,234,"x_{158, 76}",15972
1827,66,234,"x_{168, 66}",15982
1828,65,234,"x_{169, 65}",15984
1829,54,234,"x_{180, 54}",16009
1830,53,234,"x_{181, 53}",16010
1831,40,234,"x_{194, 40}",16072
1832,39,234,"x_{195, 39}",16079
1833,38,234,"x_{196, 38}",16086
1834,30,234,"x_{204, 30}",16119
1835,29,234,"x_{205, 29}",16123
1836,26,234,"x_{208, 26}",16136
1837,26,234,"x_{208, 26, 1}",16139
1838,25,234,"x_{209, 25}",16142
1839,25,234,"x_{209, 25, 1}",16144
1840,22,234,"x_{212, 22}",16157
1841,22,234,"x_{212, 22, 1}",16161
1842,21,234,"x_{213, 21}",16165
1843,18,234,"x_{216, 18}",16179
1844,16,234,"x_{218, 16}",16191
1845,16,234,"x_{218, 16, 1}",16193
1846,15,234,"x_{219, 15}",16196
1847,14,234,"x_{220, 14}",16202
1848,14,234,"x_{220, 14, 1}",16203
1849,13,234,"x_{221, 13}",16209
1850,13,234,"x_{221, 13, 1}",16211
1851,13,234,"x_{221, 13, 2}",16213
1852,12,234,"x_{222, 12}",16215
1853,11,234,"x_{223, 11}",16219
1854,47,235,"x_{188, 47}",16256
1855,38,235,"x_{197, 38}",16280
1856,37,235,"x_{198, 37}",16284
1857,35,235,"x_{200, 35}",16292
1858,31,235,"x_{204, 31}",16303
1859,31,235,"x_{204, 31, 1}",16304
1860,30,235,"x_{205, 30}",16308
1861,30,235,"x_{205, 30, 1}",16309
1862,29,235,"x_{206, 29}",16313
1863,29,235,"x_{206, 29, 1}",16316
1864,26,235,"x_{209, 26}",16329
1865,25,235,"x_{210, 25}",16335
1866,25,235,"x_{210, 25, 1}",16337
1867,22,235,"x_{213, 22}",16352
1868,22,235,"x_{213, 22, 1}",16353
1869,21,235,"x_{214, 21}",16356
1870,20,235,"x_{215, 20}",16361
1871,19,235,"x_{216, 19}",16363
1872,18,235,"x_{217, 18}",16367
1873,18,235,"x_{217, 18, 1}",16369
1874,18,235,"x_{217, 18, 2}",16370
1875,17,235,"x_{218, 17}",16373
1876,17,235,"x_{218, 17, 1}",16374
1877,17,235,"x_{218, 17, 2}",16375
1878,16,235,"x_{219, 16}",16383
1879,15,235,"x_{220, 15}",16386
1880,15,235,"x_{220, 15, 1}",16388
1881,15,235,"x_{220, 15, 2}",16390
1882,14,235,"x_{221, 14}",16392
1883,14,235,"x_{221, 14, 1}",16393
1884,14,235,"x_{221, 14, 2}",16394
1885,13,235,"x_{222, 13}",16397
1886,13,235,"x_{222, 13, 1}",16399
1887,12,235,"x_{223, 12}",16400
1888,64,236,"x_{172, 64}",16416
1889,61,236,"x_{175, 61}",16418
1890,52,236,"x_{184, 52}",16432
1891,51,236,"x_{185, 51}",16435
1892,35,236,"x_{201, 35}",16514
1893,25,236,"x_{211, 25}",16573
1894,20,236,"x_{216, 20}",16590
1895,18,236,"x_{218, 18}",16603
1896,16,236,"x_{220, 16}",16613
1897,13,236,"x_{223, 13}",16625
1898,12,236,"x_{224, 12}",16628
1899,76,237,"x_{161, 76}",16641
1900,75,237,"x_{162, 75}",16642
1901,34,237,"x_{203, 34}",16778
1902,31,237,"x_{206, 31}",16796
1903,29,237,"x_{208, 29}",16805
1904,27,237,"x_{210, 27}",16814
1905,26,237,"x_{211, 26}",16816
1906,25,237,"x_{212, 25}",16818
1907,25,237,"x_{212, 25, 1}",16820
1908,24,237,"x_{213, 24}",16823
1909,23,237,"x_{214, 23}",16827
1910,23,237,"x_{214, 23, 1}",16828
1911,23,237,"x_{214, 23, 2}",16829
1912,23,237,"x_{214, 23, 3}",16830
1913,21,237,"x_{216, 21}",16837
1914,19,237,"x_{218, 19}",16848
1915,18,237,"x_{219, 18}",16852
1916,18,237,"x_{219, 18, 1}",16853
1917,17,237,"x_{220, 17}",16856
1918,17,237,"x_{220, 17, 1}",16857
1919,16,237,"x_{221, 16}",16862
1920,15,237,"x_{222, 15}",16864
1921,14,237,"x_{223, 14}",16868
1922,13,237,"x_{224, 13}",16874
1923,12,237,"x_{225, 12}",16878
1924,9,237,"x_{228, 9}",16887
1925,49,238,"x_{189, 49}",16915
1926,35,238,"x_{203, 35}",16959
1927,33,238,"x_{205, 33}",16965
1928,32,238,"x_{206, 32}",16966
1929,32,238,"x_{206, 32, 1}",16967
1930,31,238,"x_{207, 31}",16972
1931,31,238,"x_{207, 31, 1}",16973
1932,31,238,"x_{207, 31, 2}",16974
1933,30,238,"x_{208, 30}",16981
1934,29,238,"x_{209, 29}",16982
1935,29,238,"x_{209, 29, 1}",16984
1936,28,238,"x_{210, 28}",16988
1937,27,238,"x_{211, 27}",16990
1938,27,238,"x_{211, 27, 1}",16992
1939,25,238,"x_{213, 25}",16996
1940,25,238,"x_{213, 25, 1}",16997
1941,24,238,"x_{214, 24}",17002
1942,23,238,"x_{215, 23}",17011
1943,22,238,"x_{216, 22}",17013
1944,20,238,"x_{218, 20}",17023
1945,20,238,"x_{218, 20, 1}",17024
1946,20,238,"x_{218, 20, 2}",17027
1947,19,238,"x_{219, 19}",17031
1948,18,238,"x_{220, 18}",17038
1949,18,238,"x_{220, 18, 1}",17042
1950,17,238,"x_{221, 17}",17044
1951,16,238,"x_{222, 16}",17050
1952,16,238,"x_{222, 16, 1}",17052
1953,15,238,"x_{223, 15}",17057
1954,12,238,"x_{226, 12}",17075
1955,11,238,"x_{227, 11}",17079
1956,11,238,"x_{227, 11, 1}",17080
1957,10,238,"x_{228, 10}",17083
1958,9,238,"x_{229, 9}",17088
1959,8,238,"x_{230, 8}",17091
1960,7,238,"x_{231, 7}",17093
1961,79,239,"x_{160, 79}",17096
1962,64,239,"x_{175, 64}",17105
1963,62,239,"x_{177, 62}",17107
1964,61,239,"x_{178, 61}",17108
1965,58,239,"x_{181, 58}",17111
1966,52,239,"x_{187, 52}",17122
1967,35,239,"x_{204, 35}",17205
1968,35,239,"x_{204, 35, 1}",17206
1969,26,239,"x_{213, 26}",17254
1970,25,239,"x_{214, 25}",17261
1971,25,239,"x_{214, 25, 1}",17263
1972,21,239,"x_{218, 21}",17281
1973,20,239,"x_{219, 20}",17287
1974,18,239,"x_{221, 18}",17299
1975,18,239,"x_{221, 18, 1}",17300
1976,17,239,"x_{222, 17}",17306
1977,17,239,"x_{222, 17, 1}",17307
1978,16,239,"x_{223, 16}",17311
1979,15,239,"x_{224, 15}",17313
1980,15,239,"x_{224, 15, 1}",17314
1981,15,239,"x_{224, 15, 2}",17315
1982,14,239,"x_{225, 14}",17317
1983,14,239,"x_{225, 14, 1}",17318
1984,13,239,"x_{226, 13}",17321
1985,13,239,"x_{226, 13, 1}",17322
1986,12,239,"x_{227, 12}",17326
1987,12,239,"x_{227, 12, 1}",17329
1988,11,239,"x_{228, 11}",17331
1989,73,240,"x_{167, 73}",17341
1990,41,240,"x_{199, 41}",17441
1991,36,240,"x_{204, 36}",17468
1992,35,240,"x_{205, 35}",17474
1993,34,240,"x_{206, 34}",17478
1994,34,240,"x_{206, 34, 1}",17479
1995,34,240,"x_{206, 34, 2}",17482
1996,32,240,"x_{208, 32}",17495
1997,29,240,"x_{211, 29}",17509
1998,28,240,"x_{212, 28}",17519
1999,27,240,"x_{213, 27}",17521
2000,27,240,"x_{213, 27, 1}",17523
2001,26,240,"x_{214, 26}",17529
2002,26,240,"x_{214, 26, 1}",17530
2003,25,240,"x_{215, 25}",17536
2004,24,240,"x_{216, 24}",17542
2005,24,240,"x_{216, 24, 1}",17543
2006,23,240,"x_{217, 23}",17547
2007,23,240,"x_{217, 23, 1}",17548
2008,23,240,"x_{217, 23, 2}",17549
2009,23,240,"x_{217, 23, 3}",17551
2010,21,240,"x_{219, 21}",17559
2011,21,240,"x_{219, 21, 1}",17560
2012,18,240,"x_{222, 18}",17568
2013,18,240,"x_{222, 18, 1}",17569
2014,18,240,"x_{222, 18, 2}",17570
2015,17,240,"x_{223, 17}",17576
2016,17,240,"x_{223, 17, 1}",17577
2017,17,240,"x_{223, 17, 2}",17578
2018,17,240,"x_{223, 17, 3}",17579
2019,17,240,"x_{223, 17, 4}",17580
2020,17,240,"x_{223, 17, 5}",17581
2021,16,240,"x_{224, 16}",17584
2022,16,240,"x_{224, 16, 1}",17586
2023,16,240,"x_{224, 16, 2}",17588
2024,15,240,"x_{225, 15}",17597
2025,15,240,"x_{225, 15, 1}",17601
2026,15,240,"x_{225, 15, 2}",17605
2027,14,240,"x_{226, 14}",17608
2028,14,240,"x_{226, 14, 1}",17610
2029,13,240,"x_{227, 13}",17619
2030,12,240,"x_{228, 12}",17627
2031,11,240,"x_{229, 11}",17634
2032,10,240,"x_{230, 10}",17640
2033,9,240,"x_{231, 9}",17645
2034,6,240,"x_{234, 6}",17653
2035,59,241,"x_{182, 59}",17666
2036,50,241,"x_{191, 50}",17676
2037,49,241,"x_{192, 49}",17679
2038,35,241,"x_{206, 35}",17724
2039,34,241,"x_{207, 34}",17727
2040,31,241,"x_{210, 31}",17738
2041,29,241,"x_{212, 29}",17750
2042,28,241,"x_{213, 28}",17757
2043,27,241,"x_{214, 27}",17763
2044,26,241,"x_{215, 26}",17769
2045,25,241,"x_{216, 25}",17775
2046,25,241,"x_{216, 25, 1}",17778
2047,23,241,"x_{218, 23}",17787
2048,23,241,"x_{218, 23, 1}",17789
2049,22,241,"x_{219, 22}",17790
2050,21,241,"x_{220, 21}",17793
2051,20,241,"x_{221, 20}",17798
2052,19,241,"x_{222, 19}",17804
2053,18,241,"x_{223, 18}",17812
2054,18,241,"x_{223, 18, 1}",17813
2055,17,241,"x_{224, 17}",17821
2056,81,242,"x_{161, 81}",17855
2057,58,242,"x_{184, 58}",17872
2058,36,242,"x_{206, 36}",17975
2059,35,242,"x_{207, 35}",17982
2060,34,242,"x_{208, 34}",17986
2061,28,242,"x_{214, 28}",18027
2062,27,242,"x_{215, 27}",18032
2063,25,242,"x_{217, 25}",18042
2064,22,242,"x_{220, 22}",18049
2065,21,242,"x_{221, 21}",18055
2066,21,242,"x_{221, 21, 1}",18057
2067,21,242,"x_{221, 21, 2}",18058
2068,20,242,"x_{222, 20}",18062
2069,20,242,"x_{222, 20, 1}",18063
2070,19,242,"x_{223, 19}",18070
2071,19,242,"x_{223, 19, 1}",18071
2072,18,242,"x_{224, 18}",18077
2073,17,242,"x_{225, 17}",18084
2074,17,242,"x_{225, 17, 1}",18085
2075,17,242,"x_{225, 17, 2}",18086
2076,17,242,"x_{225, 17, 3}",18087
2077,16,242,"x_{226, 16}",18089
2078,15,242,"x_{227, 15}",18094
