id,mon,s,t
0,"",0,0
1,"0,1",1,1
2,"0,2",2,2
3,"1,1",1,2
4,"0,3",3,3
5,"0,4",4,4
6,"1,2",2,4
7,"2,1",1,4
8,"0,5",5,5
9,"0,1,2,1",2,5
10,"0,6",6,6
11,"0,2,2,1",3,6
12,"0,7",7,7
13,"0,8",8,8
14,"2,2",2,8
15,"3,1",1,8
16,"0,9",9,9
17,"0,1,3,1",2,9
18,"0,10",10,10
19,"0,2,3,1",3,10
20,"1,1,3,1",2,10
21,"0,11",11,11
22,"0,3,3,1",4,11
23,"4,1",3,11
24,"0,12",12,12
25,"1,2,3,1",3,12
26,"0,13",13,13
27,"1,1,4,1",4,13
28,"0,14",14,14
29,"5,1",5,14
30,"0,15",15,15
31,"0,16",16,16
32,"1,1,5,1",6,16
33,"6,1",5,16
34,"3,2",2,16
35,"7,1",1,16
36,"0,17",17,17
37,"0,1,6,1",6,17
38,"0,1,3,2",3,17
39,"0,1,7,1",2,17
40,"0,18",18,18
41,"0,2,6,1",7,18
42,"8,1",4,18
43,"0,2,7,1",3,18
44,"1,1,7,1",2,18
45,"0,19",19,19
46,"0,1,8,1",5,19
47,"0,3,7,1",4,19
48,"0,20",20,20
49,"0,2,8,1",6,20
50,"1,1,8,1",5,20
51,"0,4,7,1",5,20
52,"1,2,7,1",3,20
53,"2,1,7,1",2,20
54,"0,21",21,21
55,"0,5,7,1",6,21
56,"9,1",4,21
57,"0,1,2,1,7,1",3,21
58,"0,22",22,22
59,"0,6,7,1",7,22
60,"1,2,8,1",6,22
61,"0,1,9,1",5,22
62,"10,1",4,22
63,"0,2,2,1,7,1",4,22
64,"11,1",3,22
65,"0,23",23,23
66,"0,7,7,1",8,23
67,"12,1",7,23
68,"0,2,9,1",6,23
69,"0,1,10,1",5,23
70,"0,24",24,24
71,"0,3,9,1",7,24
72,"13,1",4,24
73,"2,2,7,1",3,24
74,"0,25",25,25
75,"1,1,12,1",8,25
76,"0,1,13,1",5,25
77,"0,26",26,26
78,"14,1",9,26
79,"0,2,13,1",6,26
80,"1,1,13,1",5,26
81,"2,1,11,1",4,26
82,"0,27",27,27
83,"4,1,7,1",4,27
84,"0,28",28,28
85,"1,1,14,1",10,28
86,"15,1",9,28
87,"2,1,13,1",5,28
88,"0,29",29,29
89,"0,1,15,1",10,29
90,"0,1,2,1,13,1",6,29
91,"1,1,4,1,7,1",5,29
92,"0,30",30,30
93,"0,2,15,1",11,30
94,"16,1",8,30
95,"17,1",7,30
96,"0,31",31,31
97,"0,1,16,1",9,31
98,"0,1,17,1",8,31
99,"0,32",32,32
100,"0,2,16,1",10,32
101,"1,1,16,1",9,32
102,"0,2,17,1",9,32
103,"2,2,13,1",6,32
104,"7,2",2,32
105,"18,1",1,32
106,"0,33",33,33
107,"0,3,17,1",10,33
108,"19,1",8,33
109,"20,1",7,33
110,"0,1,7,2",3,33
111,"0,1,18,1",2,33
112,"0,34",34,34
113,"0,4,17,1",11,34
114,"1,2,16,1",10,34
115,"0,1,19,1",9,34
116,"0,1,20,1",8,34
117,"0,2,7,2",4,34
118,"1,1,7,2",3,34
119,"0,2,18,1",3,34
120,"1,1,18,1",2,34
121,"0,35",35,35
122,"0,5,17,1",12,35
123,"21,1",11,35
124,"0,2,19,1",10,35
125,"0,2,20,1",9,35
126,"0,3,7,2",5,35
127,"0,3,18,1",4,35
128,"0,36",36,36
129,"0,3,19,1",11,36
130,"8,2",8,36
131,"22,1",7,36
132,"23,1",6,36
133,"24,1",5,36
134,"0,4,18,1",5,36
135,"25,1",4,36
136,"1,2,18,1",3,36
137,"2,1,18,1",2,36
138,"0,37",37,37
139,"1,1,21,1",12,37
140,"0,1,8,2",9,37
141,"0,1,22,1",8,37
142,"0,1,23,1",7,37
143,"0,5,18,1",6,37
144,"26,1",4,37
145,"0,1,2,1,18,1",3,37
146,"0,38",38,38
147,"27,1",13,38
148,"0,2,8,2",10,38
149,"0,2,22,1",9,38
150,"0,2,23,1",8,38
151,"0,6,18,1",7,38
152,"28,1",6,38
153,"0,1,26,1",5,38
154,"0,2,2,1,18,1",4,38
155,"0,39",39,39
156,"0,3,23,1",9,39
157,"8,1,9,1",8,39
158,"0,7,18,1",8,39
159,"29,1",7,39
160,"0,40",40,40
161,"1,1,27,1",14,40
162,"30,1",13,40
163,"0,4,23,1",10,40
164,"0,1,8,1,9,1",9,40
165,"0,8,18,1",9,40
166,"0,1,29,1",8,40
167,"1,1,28,1",7,40
168,"2,1,24,1",6,40
169,"2,1,25,1",5,40
170,"2,2,18,1",3,40
171,"3,1,18,1",2,40
172,"0,41",41,41
173,"0,1,30,1",14,41
174,"0,5,23,1",11,41
175,"0,2,8,1,9,1",10,41
176,"0,9,18,1",10,41
177,"0,2,29,1",9,41
178,"0,1,3,1,18,1",3,41
179,"0,42",42,42
180,"0,2,30,1",15,42
181,"31,1",12,42
182,"0,10,18,1",11,42
183,"8,1,13,1",8,42
184,"32,1",7,42
185,"33,1",6,42
186,"34,1",5,42
187,"35,1",4,42
188,"0,2,3,1,18,1",4,42
189,"1,1,3,1,18,1",3,42
190,"0,43",43,43
191,"0,1,31,1",13,43
192,"0,11,18,1",12,43
193,"0,1,8,1,13,1",9,43
194,"0,1,32,1",8,43
195,"0,1,34,1",6,43
196,"0,3,3,1,18,1",5,43
197,"4,1,18,1",4,43
198,"0,44",44,44
199,"0,2,31,1",14,44
200,"1,1,31,1",13,44
201,"0,12,18,1",13,44
202,"0,2,8,1,13,1",10,44
203,"0,2,32,1",9,44
204,"1,1,33,1",7,44
205,"0,2,34,1",7,44
206,"36,1",6,44
207,"1,1,34,1",6,44
208,"1,1,35,1",5,44
209,"37,1",4,44
210,"1,2,3,1,18,1",4,44
211,"38,1",3,44
212,"0,45",45,45
213,"0,13,18,1",14,45
214,"39,1",12,45
215,"40,1",11,45
216,"9,1,13,1",8,45
217,"0,3,34,1",8,45
218,"0,1,36,1",7,45
219,"1,1,4,1,18,1",5,45
220,"0,1,37,1",5,45
221,"0,1,38,1",4,45
222,"0,46",46,46
223,"0,14,18,1",15,46
224,"1,2,31,1",14,46
225,"0,1,39,1",13,46
226,"0,1,40,1",12,46
227,"0,4,34,1",9,46
228,"0,2,36,1",8,46
229,"1,1,36,1",7,46
230,"5,1,18,1",6,46
231,"0,2,37,1",6,46
232,"0,2,38,1",5,46
233,"0,47",47,47
234,"0,15,18,1",16,47
235,"41,1",15,47
236,"0,2,39,1",14,47
237,"0,2,40,1",13,47
238,"0,5,34,1",10,47
239,"0,3,36,1",9,47
240,"0,48",48,48
241,"0,3,39,1",15,48
242,"8,1,16,1",12,48
243,"8,1,17,1",11,48
244,"42,1",9,48
245,"13,2",8,48
246,"1,1,5,1,18,1",7,48
247,"6,1,18,1",6,48
248,"43,1",4,48
249,"3,2,18,1",3,48
250,"0,49",49,49
251,"1,1,41,1",16,49
252,"0,1,8,1,16,1",13,49
253,"0,1,8,1,17,1",12,49
254,"0,1,6,1,18,1",7,49
255,"0,1,43,1",5,49
256,"0,1,3,2,18,1",4,49
257,"0,50",50,50
258,"44,1",17,50
259,"0,2,8,1,16,1",14,50
260,"0,2,8,1,17,1",13,50
261,"1,1,42,1",10,50
262,"0,2,6,1,18,1",8,50
263,"0,2,43,1",6,50
264,"8,1,18,1",5,50
265,"1,1,43,1",5,50
266,"0,51",51,51
267,"8,1,19,1",12,51
268,"8,1,20,1",11,51
269,"45,1",10,51
270,"46,1",9,51
271,"0,1,8,1,18,1",6,51
272,"0,52",52,52
273,"1,1,44,1",18,52
274,"47,1",17,52
275,"0,1,8,1,19,1",13,52
276,"0,1,8,1,20,1",12,52
277,"0,1,45,1",11,52
278,"0,2,8,1,18,1",7,52
279,"1,1,8,1,18,1",6,52
280,"2,1,43,1",5,52
281,"3,1,38,1",4,52
282,"0,53",53,53
283,"0,1,47,1",18,53
284,"0,2,8,1,19,1",14,53
285,"0,2,8,1,20,1",13,53
286,"48,1",7,53
287,"0,1,2,1,43,1",6,53
288,"9,1,18,1",5,53
289,"0,54",54,54
290,"0,2,47,1",19,54
291,"49,1",16,54
292,"50,1",15,54
293,"8,3",12,54
294,"8,1,22,1",11,54
295,"8,1,23,1",10,54
296,"51,1",9,54
297,"52,1",8,54
298,"1,2,8,1,18,1",7,54
299,"0,1,9,1,18,1",6,54
300,"10,1,18,1",5,54
301,"11,1,18,1",4,54
302,"0,55",55,55
303,"0,1,49,1",17,55
304,"0,1,50,1",16,55
305,"0,1,8,3",13,55
306,"0,1,8,1,22,1",12,55
307,"12,1,18,1",8,55
308,"1,1,48,1",8,55
309,"53,1",7,55
310,"0,2,9,1,18,1",7,55
311,"0,1,10,1,18,1",6,55
312,"0,56",56,56
313,"0,2,49,1",18,56
314,"1,1,49,1",17,56
315,"0,2,50,1",17,56
316,"0,2,8,3",14,56
317,"0,2,8,1,22,1",13,56
318,"0,1,53,1",8,56
319,"54,1",6,56
320,"3,1,43,1",5,56
321,"0,57",57,57
322,"0,3,50,1",18,57
323,"55,1",16,57
324,"56,1",15,57
325,"8,2,9,1",12,57
326,"8,1,29,1",11,57
327,"9,1,23,1",10,57
328,"1,1,12,1,18,1",9,57
329,"0,2,53,1",9,57
330,"0,1,3,1,43,1",6,57
331,"57,1",5,57
332,"0,58",58,58
333,"0,4,50,1",19,58
334,"1,2,49,1",18,58
335,"0,1,55,1",17,58
336,"0,1,56,1",16,58
337,"0,2,3,1,43,1",7,58
338,"1,1,3,1,43,1",6,58
339,"2,1,11,1,18,1",5,58
340,"0,59",59,59
341,"0,5,50,1",20,59
342,"58,1",19,59
343,"0,2,55,1",18,59
344,"0,2,56,1",17,59
345,"2,1,53,1",8,59
346,"0,60",60,60
347,"0,3,55,1",19,60
348,"8,1,31,1",16,60
349,"16,1,17,1",15,60
350,"17,2",14,60
351,"60,1",13,60
352,"59,1",13,60
353,"8,2,13,1",12,60
354,"8,1,32,1",11,60
355,"13,1,23,1",10,60
356,"13,1,24,1",9,60
357,"13,1,25,1",8,60
358,"2,1,54,1",7,60
359,"61,1",6,60
360,"0,61",61,61
361,"1,1,58,1",20,61
362,"0,1,8,1,31,1",17,61
363,"0,1,16,1,17,1",16,61
364,"0,1,17,2",15,61
365,"0,1,59,1",14,61
366,"0,62",62,62
367,"62,1",21,62
368,"0,2,8,1,31,1",18,62
369,"0,2,16,1,17,1",17,62
370,"0,2,17,2",16,62
371,"0,2,59,1",15,62
372,"1,1,59,1",14,62
373,"16,1,18,1",9,62
374,"17,1,18,1",8,62
375,"1,1,61,1",7,62
376,"0,63",63,63
377,"0,3,17,2",17,63
378,"8,1,39,1",16,63
379,"0,3,59,1",16,63
380,"8,1,40,1",15,63
381,"17,1,20,1",14,63
382,"63,1",13,63
383,"8,1,9,1,13,1",12,63
384,"9,1,32,1",11,63
385,"64,1",10,63
386,"0,1,17,1,18,1",9,63
387,"0,64",64,64
388,"1,1,62,1",22,64
389,"65,1",21,64
390,"0,4,17,2",18,64
391,"0,1,8,1,39,1",17,64
392,"0,4,59,1",17,64
393,"0,1,8,1,40,1",16,64
394,"0,1,17,1,20,1",15,64
395,"0,1,64,1",11,64
396,"66,1",10,64
397,"0,2,17,1,18,1",10,64
398,"67,1",7,64
399,"68,1",6,64
400,"18,2",2,64
401,"69,1",1,64
402,"0,65",65,65
403,"0,1,65,1",22,65
404,"0,5,17,2",19,65
405,"0,2,8,1,39,1",18,65
406,"0,5,59,1",18,65
407,"0,2,8,1,40,1",17,65
408,"0,2,64,1",12,65
409,"1,1,64,1",11,65
410,"0,1,66,1",11,65
411,"18,1,19,1",9,65
412,"18,1,20,1",8,65
413,"0,1,67,1",8,65
414,"0,1,68,1",7,65
415,"70,1",4,65
416,"0,1,18,2",3,65
417,"0,1,69,1",2,65
418,"0,66",66,66
419,"0,2,65,1",23,66
420,"71,1",20,66
421,"0,6,59,1",19,66
422,"8,2,16,1",16,66
423,"8,2,17,1",15,66
424,"16,1,23,1",14,66
425,"8,1,42,1",13,66
426,"0,3,64,1",13,66
427,"8,1,13,2",12,66
428,"0,2,66,1",12,66
429,"13,1,32,1",11,66
430,"72,1",10,66
431,"13,1,33,1",10,66
432,"0,1,18,1,20,1",9,66
433,"0,2,67,1",9,66
434,"0,2,68,1",8,66
435,"0,2,18,2",4,66
436,"1,1,18,2",3,66
437,"0,2,69,1",3,66
438,"1,1,69,1",2,66
439,"0,67",67,67
440,"0,1,71,1",21,67
441,"0,7,59,1",20,67
442,"0,1,8,2,16,1",17,67
443,"0,1,8,2,17,1",16,67
444,"0,4,64,1",14,67
445,"0,3,66,1",13,67
446,"1,2,64,1",12,67
447,"0,1,72,1",11,67
448,"0,2,18,1,20,1",10,67
449,"73,1",7,67
450,"75,1",6,67
451,"74,1",6,67
452,"76,1",5,67
453,"1,1,70,1",5,67
454,"0,3,18,2",5,67
455,"0,3,69,1",4,67
456,"0,68",68,68
457,"0,2,71,1",22,68
458,"1,1,71,1",21,68
459,"0,8,59,1",21,68
460,"0,2,8,2,16,1",18,68
461,"0,2,8,2,17,1",17,68
462,"0,5,64,1",15,68
463,"0,4,66,1",14,68
464,"0,2,72,1",12,68
465,"1,1,72,1",11,68
466,"0,1,73,1",8,68
467,"0,1,75,1",7,68
468,"0,1,74,1",7,68
469,"18,1,24,1",6,68
470,"0,4,18,2",6,68
471,"0,4,69,1",5,68
472,"1,2,18,2",4,68
473,"2,1,18,2",3,68
474,"1,2,69,1",3,68
475,"2,1,69,1",2,68
476,"0,69",69,69
477,"0,9,59,1",22,69
478,"77,1",20,69
479,"78,1",19,69
480,"8,2,19,1",16,69
481,"0,6,64,1",16,69
482,"8,2,20,1",15,69
483,"0,5,66,1",15,69
484,"8,1,45,1",14,69
485,"8,1,46,1",13,69
486,"0,3,72,1",13,69
487,"9,1,13,2",12,69
488,"79,1",10,69
489,"80,1",9,69
490,"0,2,73,1",9,69
491,"0,2,74,1",8,69
492,"0,5,18,2",7,69
493,"1,1,76,1",6,69
494,"0,5,69,1",6,69
495,"2,1,70,1",5,69
496,"0,1,2,1,18,2",4,69
497,"0,1,2,1,69,1",3,69
498,"0,70",70,70
499,"0,10,59,1",23,70
500,"1,2,71,1",22,70
501,"0,1,77,1",21,70
502,"0,1,78,1",20,70
503,"0,7,64,1",17,70
504,"0,6,66,1",16,70
505,"0,1,79,1",11,70
506,"0,1,80,1",10,70
507,"81,1",9,70
508,"83,1",8,70
509,"82,1",8,70
510,"0,6,18,2",8,70
511,"85,1",7,70
512,"84,1",7,70
513,"0,6,69,1",7,70
514,"86,1",6,70
515,"0,2,2,1,18,2",5,70
516,"0,2,2,1,69,1",4,70
517,"0,71",71,71
518,"0,11,59,1",24,71
519,"87,1",23,71
520,"0,2,77,1",22,71
521,"0,2,78,1",21,71
522,"0,8,64,1",18,71
523,"0,7,66,1",17,71
524,"0,2,79,1",12,71
525,"1,1,79,1",11,71
526,"0,2,80,1",11,71
527,"0,1,81,1",10,71
528,"0,7,18,2",9,71
529,"0,1,84,1",8,71
530,"0,7,69,1",8,71
531,"2,1,75,1",7,71
532,"0,1,86,1",7,71
533,"2,1,76,1",6,71
534,"0,72",72,72
535,"0,3,77,1",23,72
536,"8,1,49,1",20,72
537,"8,1,50,1",19,72
538,"88,1",17,72
539,"8,4",16,72
540,"8,2,22,1",15,72
541,"8,2,23,1",14,72
542,"8,1,51,1",13,72
543,"13,3",12,72
544,"0,3,80,1",12,72
545,"23,1,24,1",11,72
546,"0,2,81,1",11,72
547,"90,1",10,72
548,"89,1",10,72
549,"1,1,81,1",10,72
550,"1,1,82,1",9,72
551,"0,2,84,1",9,72
552,"0,8,69,1",9,72
553,"3,1,67,1",8,72
554,"0,1,2,1,75,1",8,72
555,"0,2,86,1",8,72
556,"3,1,68,1",7,72
557,"2,1,18,1,24,1",7,72
558,"91,1",6,72
559,"93,1",5,72
560,"92,1",5,72
561,"94,1",4,72
562,"2,2,69,1",3,72
563,"3,1,69,1",2,72
564,"0,73",73,73
565,"1,1,87,1",24,73
566,"0,1,8,1,49,1",21,73
567,"0,1,8,1,50,1",20,73
568,"0,4,80,1",13,73
569,"0,3,81,1",12,73
570,"0,1,90,1",11,73
571,"0,1,89,1",11,73
572,"2,1,80,1",10,73
573,"0,9,69,1",10,73
574,"0,1,3,1,67,1",9,73
575,"0,1,3,1,68,1",8,73
576,"95,1",7,73
577,"0,1,91,1",7,73
578,"0,1,93,1",6,73
579,"0,1,92,1",6,73
580,"0,1,94,1",5,73
581,"96,1",4,73
582,"0,1,3,1,69,1",3,73
583,"0,74",74,74
584,"97,1",25,74
585,"0,2,8,1,49,1",22,74
586,"0,2,8,1,50,1",21,74
587,"1,1,88,1",18,74
588,"0,5,80,1",14,74
589,"0,4,81,1",13,74
590,"0,2,90,1",12,74
591,"0,2,89,1",12,74
592,"1,2,81,1",11,74
593,"0,1,2,1,80,1",11,74
594,"0,10,69,1",11,74
595,"98,1",10,74
596,"0,2,3,1,67,1",10,74
597,"2,1,82,1",9,74
598,"0,2,3,1,68,1",9,74
599,"0,1,95,1",8,74
600,"0,2,92,1",7,74
601,"1,1,92,1",6,74
602,"0,1,96,1",5,74
603,"99,1",4,74
604,"0,2,3,1,69,1",4,74
605,"1,1,3,1,69,1",3,74
606,"0,75",75,75
607,"8,1,55,1",20,75
608,"8,1,56,1",19,75
609,"17,1,40,1",18,75
610,"100,1",17,75
611,"8,3,9,1",16,75
612,"8,2,29,1",15,75
613,"8,1,9,1,23,1",14,75
614,"9,1,51,1",13,75
615,"0,3,90,1",13,75
616,"0,11,69,1",12,75
617,"101,1",10,75
618,"1,1,95,1",8,75
619,"3,1,74,1",7,75
620,"2,2,76,1",7,75
621,"3,1,76,1",6,75
622,"0,2,96,1",6,75
623,"1,1,96,1",5,75
624,"0,3,3,1,69,1",5,75
625,"4,1,69,1",4,75
626,"0,76",76,76
627,"1,1,97,1",26,76
628,"102,1",25,76
629,"0,1,8,1,55,1",21,76
630,"0,1,8,1,56,1",20,76
631,"0,1,17,1,40,1",19,76
632,"0,4,90,1",14,76
633,"0,12,69,1",13,76
634,"1,1,98,1",11,76
635,"0,1,101,1",11,76
636,"104,1",10,76
637,"103,1",10,76
638,"106,1",9,76
639,"105,1",9,76
640,"107,1",8,76
641,"0,1,3,1,74,1",8,76
642,"0,3,96,1",7,76
643,"2,1,92,1",6,76
644,"1,1,99,1",5,76
645,"1,2,3,1,69,1",4,76
646,"0,77",77,77
647,"0,1,102,1",26,77
648,"0,2,8,1,55,1",22,77
649,"0,2,8,1,56,1",21,77
650,"5,1,64,1",15,77
651,"0,5,90,1",15,77
652,"0,13,69,1",14,77
653,"18,1,40,1",12,77
654,"0,2,101,1",12,77
655,"0,1,104,1",11,77
656,"0,1,103,1",11,77
657,"0,1,106,1",10,77
658,"0,1,107,1",9,77
659,"108,1",8,77
660,"2,1,95,1",8,77
661,"1,1,3,1,76,1",7,77
662,"0,1,2,1,92,1",7,77
663,"109,1",6,77
664,"1,2,96,1",6,77
665,"1,1,4,1,69,1",5,77
666,"0,78",78,78
667,"0,2,102,1",27,78
668,"110,1",24,78
669,"111,1",23,78
670,"8,2,31,1",20,78
671,"8,1,16,1,17,1",19,78
672,"8,1,17,2",18,78
673,"8,1,60,1",17,78
674,"8,3,13,1",16,78
675,"0,6,90,1",16,78
676,"8,2,32,1",15,78
677,"0,14,69,1",15,78
678,"112,1",14,78
679,"8,1,13,1,23,1",14,78
680,"113,1",13,78
681,"13,1,51,1",13,78
682,"13,1,52,1",12,78
683,"0,2,103,1",12,78
684,"114,1",11,78
685,"0,2,106,1",11,78
686,"1,1,105,1",10,78
687,"0,2,107,1",10,78
688,"1,1,107,1",9,78
689,"0,1,2,1,95,1",9,78
690,"3,1,84,1",8,78
691,"0,1,109,1",7,78
692,"5,1,69,1",6,78
693,"0,79",79,79
694,"0,1,110,1",25,79
695,"0,1,111,1",24,79
696,"0,1,8,2,31,1",21,79
697,"0,1,8,1,16,1,17,1",20,79
698,"0,7,90,1",17,79
699,"1,1,5,1,64,1",16,79
700,"0,15,69,1",16,79
701,"0,1,112,1",15,79
702,"0,1,113,1",14,79
703,"0,3,106,1",12,79
704,"2,1,101,1",11,79
705,"0,3,107,1",11,79
706,"115,1",10,79
707,"1,1,108,1",9,79
708,"0,80",80,80
709,"0,2,110,1",26,80
710,"1,1,110,1",25,80
711,"0,2,111,1",25,80
712,"0,2,8,2,31,1",22,80
713,"0,2,8,1,16,1,17,1",21,80
714,"0,8,90,1",18,80
715,"0,16,69,1",17,80
716,"0,2,112,1",16,80
717,"0,2,113,1",15,80
718,"0,1,2,1,101,1",12,80
719,"0,4,107,1",12,80
720,"2,1,103,1",11,80
721,"0,1,115,1",11,80
722,"1,2,107,1",10,80
723,"2,1,107,1",9,80
724,"7,1,67,1",8,80
725,"3,2,68,1",8,80
726,"7,1,68,1",7,80
727,"2,2,92,1",7,80
728,"1,1,5,1,69,1",7,80
729,"6,1,69,1",6,80
730,"3,1,93,1",6,80
731,"3,1,94,1",5,80
732,"3,2,69,1",3,80
733,"7,1,69,1",2,80
734,"0,81",81,81
735,"0,3,111,1",26,81
736,"116,1",24,81
737,"117,1",23,81
738,"8,2,39,1",20,81
739,"8,2,40,1",19,81
740,"0,9,90,1",19,81
741,"8,1,17,1,20,1",18,81
742,"0,17,69,1",18,81
743,"8,1,63,1",17,81
744,"0,3,112,1",17,81
745,"8,2,9,1,13,1",16,81
746,"8,1,9,1,32,1",15,81
747,"9,1,13,1,23,1",14,81
748,"8,1,64,1",14,81
749,"118,1",13,81
750,"0,5,107,1",13,81
751,"0,1,2,1,107,1",10,81
752,"0,1,3,2,68,1",9,81
753,"0,1,7,1,68,1",8,81
754,"0,1,6,1,69,1",7,81
755,"0,1,3,1,94,1",6,81
756,"7,1,70,1",5,81
757,"0,1,3,2,69,1",4,81
758,"0,1,7,1,69,1",3,81
759,"0,82",82,82
760,"0,4,111,1",27,82
761,"1,2,110,1",26,82
762,"0,1,116,1",25,82
763,"0,1,117,1",24,82
764,"0,10,90,1",20,82
765,"0,18,69,1",19,82
766,"0,1,8,1,64,1",15,82
767,"0,1,118,1",14,82
768,"119,1",13,82
769,"2,1,114,1",12,82
770,"7,1,72,1",11,82
771,"8,1,68,1",10,82
772,"0,2,7,1,68,1",9,82
773,"120,1",8,82
774,"0,2,6,1,69,1",8,82
775,"121,1",7,82
776,"122,1",6,82
777,"8,1,69,1",5,82
778,"0,2,7,1,69,1",4,82
779,"1,1,7,1,69,1",3,82
780,"0,83",83,83
781,"0,5,111,1",28,83
782,"123,1",27,83
783,"0,2,116,1",26,83
784,"0,2,117,1",25,83
785,"0,11,90,1",21,83
786,"0,19,69,1",20,83
787,"0,2,8,1,64,1",16,83
788,"0,2,118,1",15,83
789,"124,1",12,83
790,"0,1,7,1,72,1",12,83
791,"0,1,8,1,68,1",11,83
792,"0,1,120,1",9,83
793,"4,1,92,1",8,83
794,"0,1,121,1",8,83
795,"3,2,76,1",7,83
796,"0,1,122,1",7,83
797,"1,1,7,1,70,1",6,83
798,"0,1,8,1,69,1",6,83
799,"0,3,7,1,69,1",5,83
800,"0,84",84,84
801,"0,3,116,1",27,84
802,"8,1,71,1",24,84
803,"16,1,50,1",23,84
804,"17,1,50,1",22,84
805,"125,1",21,84
806,"0,20,69,1",21,84
807,"8,3,16,1",20,84
808,"8,3,17,1",19,84
809,"8,1,16,1,23,1",18,84
810,"8,2,42,1",17,84
811,"8,2,13,2",16,84
812,"8,1,13,1,32,1",15,84
813,"13,2,23,1",14,84
814,"8,1,72,1",14,84
815,"1,1,119,1",14,84
816,"127,1",13,84
817,"126,1",13,84
818,"13,2,24,1",13,84
819,"0,2,8,1,68,1",12,84
820,"0,2,120,1",10,84
821,"3,1,107,1",9,84
822,"0,2,121,1",9,84
823,"1,1,121,1",8,84
824,"0,2,122,1",8,84
825,"129,1",7,84
826,"128,1",7,84
827,"1,1,122,1",7,84
828,"0,2,8,1,69,1",7,84
829,"130,1",6,84
830,"1,1,8,1,69,1",6,84
831,"0,4,7,1,69,1",6,84
832,"131,1",5,84
833,"132,1",4,84
834,"1,2,7,1,69,1",4,84
835,"2,1,7,1,69,1",3,84
836,"0,85",85,85
837,"1,1,123,1",28,85
838,"0,1,8,1,71,1",25,85
839,"0,1,16,1,50,1",24,85
840,"0,1,17,1,50,1",23,85
841,"0,21,69,1",22,85
842,"0,1,8,1,72,1",15,85
843,"0,1,127,1",14,85
844,"0,1,126,1",14,85
845,"1,1,124,1",13,85
846,"0,3,120,1",11,85
847,"0,1,3,1,107,1",10,85
848,"133,1",9,85
849,"0,3,122,1",9,85
850,"134,1",8,85
851,"0,1,129,1",8,85
852,"0,1,128,1",8,85
853,"0,1,130,1",7,85
854,"0,5,7,1,69,1",7,85
855,"0,1,131,1",6,85
856,"9,1,69,1",5,85
857,"0,1,132,1",5,85
858,"0,1,2,1,7,1,69,1",4,85
859,"0,86",86,86
860,"135,1",29,86
861,"0,2,8,1,71,1",26,86
862,"0,2,16,1,50,1",25,86
863,"0,2,17,1,50,1",24,86
864,"0,22,69,1",23,86
865,"1,1,125,1",22,86
866,"0,2,8,1,72,1",16,86
867,"0,2,127,1",15,86
868,"0,2,126,1",15,86
869,"0,4,120,1",12,86
870,"0,2,3,1,107,1",11,86
871,"0,1,133,1",10,86
872,"0,2,129,1",9,86
873,"0,2,128,1",9,86
874,"1,2,122,1",8,86
875,"0,2,130,1",8,86
876,"0,6,7,1,69,1",8,86
877,"2,1,122,1",7,86
878,"1,2,8,1,69,1",7,86
879,"0,1,9,1,69,1",6,86
880,"0,2,132,1",6,86
881,"10,1,69,1",5,86
882,"0,2,2,1,7,1,69,1",5,86
883,"11,1,69,1",4,86
884,"0,87",87,87
885,"0,3,17,1,50,1",25,87
886,"8,1,77,1",24,87
887,"0,23,69,1",24,87
888,"8,1,78,1",23,87
889,"17,1,56,1",22,87
890,"136,1",21,87
891,"8,3,19,1",20,87
892,"8,3,20,1",19,87
893,"137,1",18,87
894,"8,2,45,1",18,87
895,"138,1",17,87
896,"8,2,46,1",17,87
897,"8,1,9,1,13,2",16,87
898,"9,1,13,1,32,1",15,87
899,"8,1,79,1",14,87
900,"8,1,80,1",13,87
901,"0,3,128,1",10,87
902,"139,1",9,87
903,"0,7,7,1,69,1",9,87
904,"12,1,69,1",8,87
905,"0,1,2,1,122,1",8,87
906,"0,2,9,1,69,1",7,87
907,"0,1,10,1,69,1",6,87
908,"0,88",88,88
909,"1,1,135,1",30,88
910,"140,1",29,88
911,"0,4,17,1,50,1",26,88
912,"0,1,8,1,77,1",25,88
913,"0,24,69,1",25,88
914,"0,1,8,1,78,1",24,88
915,"0,1,17,1,56,1",23,88
916,"0,1,137,1",19,88
917,"0,1,138,1",18,88
918,"0,1,8,1,79,1",15,88
919,"2,1,126,1",14,88
920,"0,1,8,1,80,1",14,88
921,"13,1,67,1",11,88
922,"0,4,128,1",11,88
923,"141,1",10,88
924,"9,1,75,1",10,88
925,"0,2,2,1,122,1",9,88
926,"0,3,9,1,69,1",8,88
927,"2,1,130,1",7,88
928,"7,1,92,1",6,88
929,"2,1,131,1",6,88
930,"13,1,69,1",5,88
931,"2,1,132,1",5,88
932,"142,1",4,88
933,"2,2,7,1,69,1",4,88
934,"143,1",3,88
935,"0,89",89,89
936,"0,1,140,1",30,89
937,"0,5,17,1,50,1",27,89
938,"0,2,8,1,77,1",26,89
939,"0,25,69,1",26,89
940,"0,2,8,1,78,1",25,89
941,"0,2,137,1",20,89
942,"1,1,137,1",19,89
943,"0,2,138,1",19,89
944,"0,2,8,1,79,1",16,89
945,"0,2,8,1,80,1",15,89
946,"144,1",12,89
947,"0,5,128,1",12,89
948,"0,1,141,1",11,89
949,"1,1,139,1",10,89
950,"2,1,134,1",9,89
951,"1,1,12,1,69,1",9,89
